number	annpre_mean	coeff_var		
2335	35.00	36.00
2336	35.00	36.00
2337	35.00	35.00
2338	35.00	27.00
2339	35.00	38.00
2340	35.00	30.00
2341	35.00	29.00
2342	35.00	28.00
2343	35.00	24.00
2354	35.00	23.00
2409	35.00	25.00
2415	35.00	27.00
2416	35.00	29.00
2417	35.00	35.00
2418	35.00	36.00
2419	35.00	34.00
2420	35.00	35.00
2421	35.00	24.00
2422	35.00	35.00
2423	35.00	21.00
2424	35.00	29.00
2425	35.00	28.00
2426	35.00	28.00
2437	35.00	18.00
2492	35.00	22.00
2493	35.00	30.00
2497	35.00	30.00
2498	35.00	22.00
2499	35.00	30.00
2500	35.00	38.00
2501	35.00	31.00
2502	35.00	27.00
2503	35.00	31.00
2504	35.00	24.00
2505	35.00	35.00
2506	35.00	29.00
2507	35.00	29.00
2508	35.00	28.00
2519	35.00	15.00
2576	35.00	40.00
2577	35.00	33.00
2580	35.00	33.00
2581	35.00	22.00
2582	35.00	38.00
2583	35.00	38.00
2584	35.00	27.00
2585	35.00	27.00
2586	35.00	28.00
2587	35.00	27.00
2588	35.00	29.00
2589	35.00	39.00
2590	35.00	42.00
2602	35.00	25.00
2657	35.00	13.00
2659	35.00	40.00
2660	35.00	41.00
2663	35.00	33.00
2664	35.00	25.00
2665	35.00	42.00
2666	35.00	34.00
2667	35.00	34.00
2668	35.00	32.00
2669	35.00	29.00
2670	35.00	27.00
2671	35.00	29.00
2672	35.00	39.00
2673	35.00	46.00
2684	35.00	13.00
2685	35.00	25.00
2740	35.00	23.00
2741	35.00	22.00
2742	35.00	37.00
2743	35.00	19.00
2744	35.00	29.00
2746	35.00	30.00
2747	35.00	28.00
2748	35.00	42.00
2749	35.00	34.00
2750	35.00	34.00
2751	35.00	31.00
2752	35.00	29.00
2753	35.00	21.00
2754	35.00	32.00
2755	35.00	30.00
2756	35.00	42.00
2767	35.00	13.00
2823	35.00	16.00
2824	35.00	24.00
2825	35.00	22.00
2826	35.00	19.00
2827	35.00	30.00
2828	35.00	27.00
2829	35.00	27.00
2830	35.00	32.00
2831	35.00	32.00
2832	35.00	33.00
2833	35.00	34.00
2834	35.00	35.00
2835	35.00	25.00
2836	35.00	30.00
2837	35.00	32.00
2838	35.00	33.00
2850	35.00	21.00
2906	35.00	16.00
2907	35.00	15.00
2908	35.00	21.00
2909	35.00	23.00
2910	35.00	19.00
2911	35.00	33.00
2912	35.00	23.00
2913	35.00	32.00
2914	35.00	22.00
2915	35.00	33.00
2916	35.00	38.00
2917	35.00	35.00
2918	35.00	35.00
2919	35.00	29.00
2920	35.00	37.00
2922	35.00	37.00
2933	35.00	19.00
2989	35.00	16.00
2990	35.00	9.00
2991	35.00	21.00
2992	35.00	21.00
2993	35.00	19.00
2994	35.00	19.00
2995	35.00	23.00
2996	35.00	27.00
2997	35.00	31.00
3000	35.00	24.00
3001	35.00	22.00
3002	35.00	29.00
3003	35.00	31.00
3005	35.00	35.00
3015	35.00	23.00
3016	35.00	27.00
3072	35.00	20.00
3073	35.00	9.00
3074	35.00	18.00
3075	35.00	21.00
3076	35.00	25.00
3077	35.00	15.00
3078	35.00	22.00
3079	35.00	31.00
3083	35.00	26.00
3084	35.00	22.00
3085	35.00	25.00
3086	35.00	24.00
3098	35.00	19.00
3156	35.00	7.00
3157	35.00	13.00
3158	35.00	21.00
3159	35.00	21.00
3160	35.00	15.00
3161	35.00	31.00
3162	35.00	25.00
3166	35.00	41.00
3167	35.00	29.00
3168	35.00	34.00
3169	35.00	24.00
3175	35.00	18.00
3181	35.00	26.00
3239	35.00	5.00
3240	35.00	5.00
3241	35.00	19.00
3242	35.00	16.00
3243	35.00	14.00
3244	35.00	23.00
3245	35.00	25.00
3249	35.00	41.00
3250	35.00	34.00
3251	35.00	30.00
3252	35.00	23.00
3258	35.00	18.00
3263	35.00	21.00
3264	35.00	26.00
3321	35.00	30.00
3322	35.00	17.00
3323	35.00	5.00
3324	35.00	26.00
3325	35.00	16.00
3326	35.00	23.00
3327	35.00	23.00
3328	35.00	28.00
3332	35.00	36.00
3333	35.00	26.00
3334	35.00	30.00
3335	35.00	24.00
3336	35.00	27.00
3341	35.00	21.00
3346	35.00	16.00
3404	35.00	26.00
3405	35.00	28.00
3406	35.00	16.00
3407	35.00	18.00
3408	35.00	21.00
3409	35.00	35.00
3410	35.00	30.00
3411	35.00	19.00
3414	35.00	36.00
3415	35.00	27.00
3416	35.00	26.00
3417	35.00	27.00
3418	35.00	32.00
3419	35.00	21.00
3420	35.00	23.00
3424	35.00	27.00
3428	35.00	5.00
3487	35.00	39.00
3488	35.00	28.00
3489	35.00	31.00
3490	35.00	18.00
3491	35.00	35.00
3492	35.00	35.00
3493	35.00	18.00
3494	35.00	15.00
3498	35.00	25.00
3499	35.00	23.00
3500	35.00	20.00
3501	35.00	32.00
3502	35.00	25.00
3503	35.00	23.00
3507	35.00	27.00
3511	35.00	17.00
3570	35.00	39.00
3571	35.00	35.00
3572	35.00	32.00
3573	35.00	26.00
3574	35.00	19.00
3575	35.00	17.00
3576	35.00	14.00
3577	35.00	15.00
3581	35.00	25.00
3582	35.00	17.00
3583	35.00	11.00
3584	35.00	23.00
3585	35.00	19.00
3586	35.00	19.00
3590	35.00	19.00
3593	35.00	4.00
3594	35.00	17.00
3653	35.00	29.00
3654	35.00	31.00
3655	35.00	32.00
3656	35.00	17.00
3657	35.00	19.00
3658	35.00	2.00
3659	35.00	14.00
3660	35.00	6.00
3663	35.00	18.00
3664	35.00	17.00
3665	35.00	2.00
3666	35.00	11.00
3667	35.00	11.00
3668	35.00	19.00
3669	35.00	17.00
3675	35.00	4.00
3676	35.00	13.00
3677	35.00	21.00
3736	35.00	21.00
3737	35.00	15.00
3738	35.00	24.00
3739	35.00	15.00
3740	35.00	2.00
3741	35.00	6.00
3742	35.00	10.00
3746	35.00	18.00
3747	35.00	20.00
3748	35.00	2.00
3749	35.00	1.00
3750	35.00	15.00
3751	35.00	27.00
3752	35.00	24.00
3758	35.00	13.00
3759	35.00	13.00
3760	35.00	21.00
3819	35.00	4.00
3820	35.00	15.00
3821	35.00	7.00
3822	35.00	15.00
3823	35.00	6.00
3824	35.00	6.00
3825	35.00	0.00
3826	35.00	0.00
3829	35.00	24.00
3830	35.00	29.00
3831	35.00	5.00
3832	35.00	9.00
3833	35.00	15.00
3834	35.00	26.00
3835	35.00	24.00
3841	35.00	28.00
3842	35.00	21.00
3843	35.00	32.00
3902	35.00	0.00
3903	35.00	2.00
3904	35.00	6.00
3905	35.00	19.00
3906	35.00	4.00
3907	35.00	12.00
3908	35.00	8.00
3913	35.00	29.00
3914	35.00	23.00
3915	35.00	20.00
3916	35.00	6.00
3917	35.00	10.00
3918	35.00	29.00
3924	35.00	28.00
3925	35.00	43.00
3926	35.00	32.00
3985	35.00	0.00
3986	35.00	0.00
3987	35.00	6.00
3988	35.00	12.00
3989	35.00	4.00
3990	35.00	8.00
3991	35.00	2.00
3993	35.00	3.00
3995	35.00	21.00
3996	35.00	16.00
3997	35.00	10.00
3998	35.00	20.00
3999	35.00	12.00
4000	35.00	10.00
4001	35.00	20.00
4007	35.00	29.00
4008	35.00	30.00
4009	35.00	19.00
4010	35.00	21.00
4068	35.00	2.00
4069	35.00	1.00
4070	35.00	6.00
4071	35.00	19.00
4072	35.00	11.00
4073	35.00	9.00
4074	35.00	2.00
4077	35.00	15.00
4078	35.00	21.00
4079	35.00	5.00
4080	35.00	10.00
4081	35.00	2.00
4082	35.00	10.00
4083	35.00	6.00
4084	35.00	16.00
