plots	anabasis	caragana	desert-shrub	haloxylon	mountain-shrub	mountain-steppe	steppe	salt
370	170.88	NA	NA	NA	NA	NA	NA	NA
371	171	NA	NA	NA	NA	NA	NA	NA
372	171.11	NA	NA	NA	NA	NA	NA	NA
373	171.22	NA	NA	NA	NA	NA	NA	NA
374	171.33	NA	NA	NA	NA	NA	NA	NA
375	171.45	NA	NA	NA	NA	NA	NA	NA
376	171.56	NA	NA	NA	NA	NA	NA	NA
377	171.67	NA	NA	NA	NA	NA	NA	NA
378	171.78	NA	NA	NA	NA	NA	NA	NA
379	171.89	NA	NA	NA	NA	NA	NA	NA
380	172	NA	NA	NA	NA	NA	NA	NA
